Size, Type, Time
100, "Sequential", 0.000016
100, "Parallel", 0.008464
100, "Built-in", 0.000020
100, "Sequential", 0.000020
100, "Parallel", 0.008386
100, "Built-in", 0.000018
100, "Sequential", 0.000015
100, "Parallel", 0.007649
100, "Built-in", 0.000016
100, "Sequential", 0.000014
100, "Parallel", 0.005303
100, "Built-in", 0.000014
100, "Sequential", 0.000014
100, "Parallel", 0.003872
100, "Built-in", 0.000015
1000, "Sequential", 0.000149
1000, "Parallel", 0.029442
1000, "Built-in", 0.000162
1000, "Sequential", 0.000160
1000, "Parallel", 0.029368
1000, "Built-in", 0.000169
1000, "Sequential", 0.000162
1000, "Parallel", 0.027784
1000, "Built-in", 0.000167
1000, "Sequential", 0.000159
1000, "Parallel", 0.027530
1000, "Built-in", 0.000282
1000, "Sequential", 0.000161
1000, "Parallel", 0.026211
1000, "Built-in", 0.000168
10000, "Sequential", 0.001977
10000, "Parallel", 0.048611
10000, "Built-in", 0.002410
10000, "Sequential", 0.002039
10000, "Parallel", 0.046548
10000, "Built-in", 0.001911
10000, "Sequential", 0.001984
10000, "Parallel", 0.050603
10000, "Built-in", 0.001945
10000, "Sequential", 0.001869
10000, "Parallel", 0.050159
10000, "Built-in", 0.001995
10000, "Sequential", 0.001885
10000, "Parallel", 0.047757
10000, "Built-in", 0.001958
100000, "Sequential", 0.023713
100000, "Parallel", 0.059040
100000, "Built-in", 0.022920
100000, "Sequential", 0.024196
100000, "Parallel", 0.056720
100000, "Built-in", 0.022975
100000, "Sequential", 0.024642
100000, "Parallel", 0.060244
100000, "Built-in", 0.022450
100000, "Sequential", 0.024205
100000, "Parallel", 0.059537
100000, "Built-in", 0.024244
100000, "Sequential", 0.023903
100000, "Parallel", 0.056418
100000, "Built-in", 0.024085
1000000, "Sequential", 0.282636
1000000, "Parallel", 0.232874
1000000, "Built-in", 0.271489
1000000, "Sequential", 0.271247
1000000, "Parallel", 0.222373
1000000, "Built-in", 0.273018
1000000, "Sequential", 0.272250
1000000, "Parallel", 0.232016
1000000, "Built-in", 0.304412
1000000, "Sequential", 0.275751
1000000, "Parallel", 0.217915
1000000, "Built-in", 0.283578
1000000, "Sequential", 0.275056
1000000, "Parallel", 0.216744
1000000, "Built-in", 0.291937
