Size, Type, Time
0, "Sequential", 0.000000
0, "Parallel", 0.000304
0, "Built-in", 0.000002
1000000, "Sequential", 0.117572
1000000, "Parallel", 0.169006
1000000, "Built-in", 0.176553
2000000, "Sequential", 0.257971
2000000, "Parallel", 0.328565
2000000, "Built-in", 0.369289
3000000, "Sequential", 0.371507
3000000, "Parallel", 0.472288
3000000, "Built-in", 0.591574
4000000, "Sequential", 0.506235
4000000, "Parallel", 0.645329
4000000, "Built-in", 0.777856
5000000, "Sequential", 0.644051
5000000, "Parallel", 0.775212
5000000, "Built-in", 0.996838
6000000, "Sequential", 0.773331
6000000, "Parallel", 0.947188
6000000, "Built-in", 1.198871
7000000, "Sequential", 0.898764
7000000, "Parallel", 1.085957
7000000, "Built-in", 1.412976
8000000, "Sequential", 1.029750
8000000, "Parallel", 1.206706
8000000, "Built-in", 1.637413
9000000, "Sequential", 1.172789
9000000, "Parallel", 1.372373
9000000, "Built-in", 1.849949
10000000, "Sequential", 1.317429
10000000, "Parallel", 1.489849
10000000, "Built-in", 2.087751
0, "Sequential", 0.000000
0, "Parallel", 0.000607
0, "Built-in", 0.000002
1000000, "Sequential", 0.120181
1000000, "Parallel", 0.174929
1000000, "Built-in", 0.175757
2000000, "Sequential", 0.238366
2000000, "Parallel", 0.325329
2000000, "Built-in", 0.368788
3000000, "Sequential", 0.374055
3000000, "Parallel", 0.481671
3000000, "Built-in", 0.569412
4000000, "Sequential", 0.501366
4000000, "Parallel", 0.656512
4000000, "Built-in", 0.798500
5000000, "Sequential", 0.626084
5000000, "Parallel", 0.800412
5000000, "Built-in", 0.992955
6000000, "Sequential", 0.756771
6000000, "Parallel", 0.923251
6000000, "Built-in", 1.201326
7000000, "Sequential", 0.891386
7000000, "Parallel", 1.097720
7000000, "Built-in", 1.462288
8000000, "Sequential", 1.057312
8000000, "Parallel", 1.265640
8000000, "Built-in", 1.618134
9000000, "Sequential", 1.202721
9000000, "Parallel", 1.402796
9000000, "Built-in", 1.844347
10000000, "Sequential", 1.328214
10000000, "Parallel", 1.596271
10000000, "Built-in", 2.062540
0, "Sequential", 0.000001
0, "Parallel", 0.000343
0, "Built-in", 0.000002
1000000, "Sequential", 0.116206
1000000, "Parallel", 0.174986
1000000, "Built-in", 0.175368
2000000, "Sequential", 0.251595
2000000, "Parallel", 0.326353
2000000, "Built-in", 0.374712
3000000, "Sequential", 0.370052
3000000, "Parallel", 0.496257
3000000, "Built-in", 0.571612
4000000, "Sequential", 0.497132
4000000, "Parallel", 0.616813
4000000, "Built-in", 0.771216
5000000, "Sequential", 0.646175
5000000, "Parallel", 0.786802
5000000, "Built-in", 0.982861
6000000, "Sequential", 0.761085
6000000, "Parallel", 0.919630
6000000, "Built-in", 1.211579
7000000, "Sequential", 0.898063
7000000, "Parallel", 1.055370
7000000, "Built-in", 1.404502
8000000, "Sequential", 1.029448
8000000, "Parallel", 1.288211
8000000, "Built-in", 1.616684
9000000, "Sequential", 1.180532
9000000, "Parallel", 1.410265
9000000, "Built-in", 1.849113
10000000, "Sequential", 1.304936
10000000, "Parallel", 1.568016
10000000, "Built-in", 2.063732
0, "Sequential", 0.000000
0, "Parallel", 0.000773
0, "Built-in", 0.000006
1000000, "Sequential", 0.114684
1000000, "Parallel", 0.179205
1000000, "Built-in", 0.174356
2000000, "Sequential", 0.239138
2000000, "Parallel", 0.323526
2000000, "Built-in", 0.370922
3000000, "Sequential", 0.365191
3000000, "Parallel", 0.483933
3000000, "Built-in", 0.591786
4000000, "Sequential", 0.505263
4000000, "Parallel", 0.633638
4000000, "Built-in", 0.771557
5000000, "Sequential", 0.627678
5000000, "Parallel", 0.733748
5000000, "Built-in", 0.988651
6000000, "Sequential", 0.775291
6000000, "Parallel", 0.951181
6000000, "Built-in", 1.199487
7000000, "Sequential", 0.904583
7000000, "Parallel", 1.082562
7000000, "Built-in", 1.422276
8000000, "Sequential", 1.038040
8000000, "Parallel", 1.228113
8000000, "Built-in", 1.646118
9000000, "Sequential", 1.170735
9000000, "Parallel", 1.357550
9000000, "Built-in", 1.851445
10000000, "Sequential", 1.308636
10000000, "Parallel", 1.512986
10000000, "Built-in", 2.078708
0, "Sequential", 0.000000
0, "Parallel", 0.000328
0, "Built-in", 0.000002
1000000, "Sequential", 0.115015
1000000, "Parallel", 0.174474
1000000, "Built-in", 0.177371
2000000, "Sequential", 0.237488
2000000, "Parallel", 0.340411
2000000, "Built-in", 0.368292
3000000, "Sequential", 0.370830
3000000, "Parallel", 0.476777
3000000, "Built-in", 0.573165
4000000, "Sequential", 0.499386
4000000, "Parallel", 0.621667
4000000, "Built-in", 0.791782
5000000, "Sequential", 0.633527
5000000, "Parallel", 0.778069
5000000, "Built-in", 0.985750
6000000, "Sequential", 0.764396
6000000, "Parallel", 0.934595
6000000, "Built-in", 1.205537
7000000, "Sequential", 0.905209
7000000, "Parallel", 1.102027
7000000, "Built-in", 1.408064
8000000, "Sequential", 1.034463
8000000, "Parallel", 1.239011
8000000, "Built-in", 1.616330
9000000, "Sequential", 1.182420
9000000, "Parallel", 1.350331
9000000, "Built-in", 1.835873
10000000, "Sequential", 1.328287
10000000, "Parallel", 1.523010
10000000, "Built-in", 2.057332
