Size, TimeSeq, TimePar,TimeBuiltIn, CPU_USAGE,RAM_USAGE,STORAGE_USAGE,N_PROCESS, ON_BATTERY,TEMPERATURE,CPU_GOVERNOR 
0, 0.000000 , 0.000511 , 0.000004 ,9,46.00,14,374,fully-charged,62.2,schedutil
1000000, 0.122787 , 0.180089 , 0.201578 ,10,46.00,14,374,fully-charged,63.0,schedutil
2000000, 0.258838 , 0.345271 , 0.394852 ,10,46.00,14,375,fully-charged,67.0,schedutil
3000000, 0.389309 , 0.472851 , 0.614174 ,9,46.00,14,375,fully-charged,72.2,schedutil
4000000, 0.537799 , 0.643878 , 0.830870 ,25,46.00,14,375,fully-charged,70.5,schedutil
5000000, 0.713201 , 0.801830 , 1.074060 ,17,46.00,14,375,fully-charged,74.2,schedutil
6000000, 0.818768 , 0.902943 , 1.297154 ,11,46.00,14,375,fully-charged,76.0,schedutil
7000000, 1.006788 , 1.042709 , 1.533210 ,11,46.00,14,375,fully-charged,77.0,schedutil
8000000, 1.181180 , 1.255406 , 1.767254 ,11,46.00,14,376,fully-charged,78.5,schedutil
9000000, 1.257162 , 1.410159 , 2.031089 ,12,46.00,14,375,fully-charged,81.2,schedutil
10000000, 1.451663 , 1.634807 , 2.303282 ,12,46.00,14,375,fully-charged,82.0,schedutil
0, 0.000001 , 0.000371 , 0.000003 ,14,46.00,14,375,fully-charged,82.0,schedutil
1000000, 0.125794 , 0.193168 , 0.190120 ,13,46.00,14,375,fully-charged,83.2,schedutil
2000000, 0.262169 , 0.335554 , 0.421010 ,19,46.00,14,375,fully-charged,84.8,schedutil
3000000, 0.409404 , 0.505379 , 0.662281 ,10,46.00,14,375,fully-charged,86.2,schedutil
4000000, 0.567011 , 0.675450 , 0.903268 ,15,46.00,14,375,fully-charged,83.8,schedutil
5000000, 0.700046 , 0.830256 , 1.126786 ,18,46.00,14,375,fully-charged,86.8,schedutil
6000000, 0.869244 , 0.938737 , 1.361411 ,10,46.00,14,375,fully-charged,87.5,schedutil
7000000, 0.985444 , 1.176316 , 1.599060 ,14,46.00,14,375,fully-charged,89.0,schedutil
8000000, 1.132755 , 1.327023 , 1.788308 ,17,46.00,14,376,fully-charged,91.8,schedutil
9000000, 1.309040 , 1.492488 , 2.211324 ,16,46.00,14,376,fully-charged,86.8,schedutil
10000000, 1.430431 , 1.605811 , 2.503851 ,11,46.00,14,376,fully-charged,87.2,schedutil
0, 0.000000 , 0.000505 , 0.000002 ,12,46.00,14,376,fully-charged,84.8,schedutil
1000000, 0.126942 , 0.195896 , 0.190241 ,13,46.00,14,376,fully-charged,84.8,schedutil
2000000, 0.268907 , 0.338938 , 0.407934 ,22,46.00,14,376,fully-charged,88.8,schedutil
3000000, 0.423347 , 0.510146 , 0.669175 ,15,46.00,14,376,fully-charged,88.0,schedutil
4000000, 0.591148 , 0.660241 , 0.886063 ,16,46.00,14,376,fully-charged,90.5,schedutil
5000000, 0.715351 , 0.807237 , 1.098474 ,36,46.00,14,376,fully-charged,87.8,schedutil
6000000, 0.838489 , 0.957679 , 1.343032 ,23,46.00,14,376,fully-charged,87.8,schedutil
7000000, 0.989882 , 1.116152 , 1.673185 ,10,46.00,14,376,fully-charged,87.2,schedutil
8000000, 1.120642 , 1.242341 , 1.817161 ,20,46.00,14,376,fully-charged,89.5,schedutil
